PLANT;PN_ASS;PN_COM;DATEFROM_VALID;BOM_QTY
71;F000615;F000827;07/08/08;0,85
71;F001295;F001431;16/06/09;0,85
71;F001446;F000645;30/07/08;0,56667
71;F001446;F001445;30/07/08;0,28333
71;F001449;F000207;11/02/15;1
71;F001451;F001859;23/12/09;1
71;F001452;F000242;01/10/13;1
71;F001453;F000187;23/12/13;1
71;F001454;F001862;23/12/09;1
71;F001455;F001863;23/12/09;1
71;F001456;F001835;15/09/09;1
71;F001457;F001889;25/02/10;1
71;F001529;F001864;23/12/09;1
71;F001530;F001836;15/09/09;1
71;F001633;F001593;23/11/07;1
71;F001663;C001437;14/01/19;0,787
71;F001782;F000827;02/07/09;0,85
71;F001797;F001281;23/06/09;0,85
71;F001892;F001891;03/03/10;0,64
71;F001912;F001891;04/05/10;0,32
71;F001922;F000961;31/01/13;1
71;F002047;F002047;10/10/11;0,0172
71;F002184;F002184;21/09/11;1
71;F002350;F002330;13/04/12;0,95
71;F002624;F000923;22/12/15;1
71;F002677;F000204;04/12/14;0,2857
71;F002677;F000697;04/12/14;0,7143
71;F002696;F000010;09/01/15;1
71;F002734;F001963;02/10/18;0,90146
71;F002734;F002764;02/10/18;0,09854
71;F002843;F002840;21/09/15;1
71;F002844;F001563;21/09/15;1
71;F002846;F002839;21/09/15;1
71;F002878;F002208;01/12/15;1
71;F002879;F001227;01/12/15;1
71;F002926;F000006;05/10/17;0,00333
71;F002926;F002568;05/10/17;0,55389
71;F002926;F003908;05/12/23;0,55389
71;F002928;F000990;08/01/16;1
71;F002929;F002865;08/01/16;1
71;F002942;F002941;19/02/16;0,85
71;F003440;F002366;21/04/21;0,34
71;F003440;F003676;21/04/21;0,66
71;F003613;F003280;21/12/20;1
71;F003617;F001206;28/12/20;1
71;F003618;F003313;28/12/20;1
71;F003619;F001207;28/12/20;1
71;F003620;F003283;28/12/20;1
71;F003717;F001696;20/09/21;1
71;F003917;F000285;02/01/24;1
71;E000016;E000344;14/01/14;1,3
71;E000041;E000812;21/03/08;1
71;E000047;E000813;01/08/07;1,05
71;E000056;E000233;22/03/10;1
71;E000195;E000812;13/12/07;1
71;E000219;E000813;01/03/07;1
71;E000237;E000813;16/03/11;1
71;E000238;E000813;01/03/07;1
71;E000251;E002485;25/02/15;1
71;E000252;E000813;31/10/08;1
71;E000279;E000812;07/04/09;1
71;E000280;E000813;01/03/07;1
71;E000300;E000076;01/03/07;1
71;E000306;E000129;01/03/07;1
71;E000307;E000076;01/03/07;1
71;E000309;E000076;01/03/07;1
71;E000311;E000642;23/07/08;1
71;E000322;E000813;20/01/09;1
71;E000327;E000129;21/10/10;1
71;E000333;E000074;01/03/07;1
71;E000345;E000129;01/03/07;1
71;E000349;E000129;01/03/07;1
71;E000351;E000129;01/03/07;1
71;E000376;E000129;01/03/07;1
71;E000389;E000131;31/07/08;1
71;E000403;E000813;18/10/07;1
71;E000437;E000241;01/03/07;1
71;E000460;E000258;01/03/07;1
71;E000461;E000129;01/03/07;1
71;E000462;E000129;01/03/07;1
71;E000473;E000812;03/12/08;1
71;E000474;E000813;21/02/11;1
71;E000480;E000241;01/03/07;1
71;E000483;E000812;01/03/07;1
71;E000488;E000812;02/09/09;1
71;E000489;E000813;01/03/07;1
71;E000498;E000128;02/06/09;1
71;E000513;E000129;01/03/07;1
71;E000524;E000128;26/06/09;1
71;E000541;E000812;27/11/15;1
71;E000545;E000241;01/03/07;1
71;E000552;E000812;01/03/07;1
71;E000554;E000241;01/07/09;1
71;E000555;E000813;04/10/07;1,05
71;E000572;E000813;18/02/08;1
71;E000578;E000129;01/03/07;1
71;E000598;E000642;01/09/07;1
71;E000599;E000642;27/07/10;1
71;E000601;E000812;01/07/07;1
71;E000641;E000129;23/06/09;1
71;E000650;E000812;10/06/09;1
71;E000654;E000129;29/06/09;1
71;E000671;E000832;01/03/07;1
71;E000677;E000241;01/03/07;1
71;E000680;E000813;13/09/07;1
71;E000693;E000129;01/03/07;1
71;E000696;E000813;01/03/07;1
71;E000703;E000129;01/03/07;1
