PLANT;PURCH_ORD;PN;PURCH_ITEM;PURCH_ORD_QTY;PURCH_DELIV_DATE
71;22.209.560;E002219;22209560/2;105.600;03/05/24
71;22.210.423;E000270;22210423/9;1.000;15/01/24
71;22.300.020;F002502;22300020/1;150;02/02/24
71;22.300.020;F000226;22300020/3;100;31/12/24
71;22.300.689;E003912;22300689/1;44.000;01/03/24
71;22.300.808;F002483;22300808/1;3.360;15/02/24
71;22.301.806;E000848;22301806/8;3.000;15/01/24
71;22.301.806;E000274;22301806/7;1.000;15/01/24
71;22.301.806;E000093;22301806/2;2.000;15/01/24
71;22.301.806;E000094;22301806/3;2.000;15/01/24
71;22.303.117;E002251;22303117/1;20.000;29/01/24
71;22.303.402;F003762;22303402/1;50;07/04/24
71;22.303.500;F001697;22303500/1;590;15/02/24
71;22.303.951;E002251;22303951/1;22.000;29/01/24
71;22.304.450;E002238;22304450/4;52.800;20/05/24
71;22.305.180;E002211;22305180/1;96.000;01/02/24
71;22.305.338;E003434;22305338/1;75;31/01/24
71;22.305.387;D008149;22305387/6;122.500;07/05/24
71;22.305.387;D008149;22305387/5;122.500;08/01/24
71;22.305.643;E002211;22305643/1;96.000;02/02/24
71;22.305.659;D010453;22305659/1;122.500;10/01/24
71;22.305.659;D010453;22305659/5;122.500;08/05/24
71;22.305.812;E002238;22305812/1;52.800;23/02/24
71;22.305.847;D008443;22305847/3;57.000;22/01/24
71;22.305.848;D009637;22305848/6;23.100;23/01/24
71;22.305.848;D008441;22305848/4;33.750;23/01/24
71;22.305.871;D006134;22305871/1;5.000;31/12/24
71;22.305.916;D000335;22305916/1;20.000;31/12/24
71;22.306.059;E003055;22306059/2;238.080;12/01/24
71;22.306.073;E002238;22306073/13;105.600;20/05/24
71;22.306.161;E002238;22306161/1;211.200;18/03/24
71;22.306.186;E003529;22306186/1;1.400;12/01/24
71;22.306.275;E002211;22306275/1;96.000;02/02/24
71;22.306.276;D008780;22306276/2;70.000;12/01/24
71;22.306.276;D008780;22306276/3;70.000;15/05/24
