PLANT;PN;DESC;CLASS;MOB;UM;FAMILY;DEPT;WOCE;BOMLEV
71;F000001;DESC PN F000001;08;BUY;KG;MPSO;****;****;4
71;F000002;DESC PN F000002;06;BUY;KG;MPSO;****;****;5
71;F000003;DESC PN F000003;08;BUY;KG;MPSO;****;****;7
71;F000004;DESC PN F000004;06;BUY;KG;MPSO;****;****;6
71;F000005;DESC PN F000005;08;BUY;KG;MPSO;****;****;8
71;F000006;DESC PN F000006;08;BUY;KG;MPSO;****;****;7
71;F000007;DESC PN F000007;08;BUY;KG;MPSO;****;****;4
71;F000008;DESC PN F000008;06;BUY;KG;MPSO;****;****;4
71;F000010;DESC PN F000010;06;BUY;KG;MPSO;****;****;7
71;F000011;DESC PN F000011;06;BUY;KG;****;****;****;5
71;F000012;DESC PN F000012;06;BUY;KG;****;****;****;2
71;F000014;DESC PN F000014;08;BUY;KG;MPSO;****;****;6
71;F000015;DESC PN F000015;06;BUY;KG;****;****;****;3
71;F000016;DESC PN F000016;06;BUY;KG;MPSO;****;****;7
71;F000017;DESC PN F000017;08;BUY;KG;****;****;****;5
71;F000018;DESC PN F000018;06;BUY;KG;MPSO;****;****;6
71;F000019;DESC PN F000019;06;BUY;KG;****;****;****;2
71;F000020;DESC PN F000020;06;BUY;KG;****;****;****;2
71;F000021;DESC PN F000021;06;BUY;KG;MPSO;****;****;5
71;F000022;DESC PN F000022;06;BUY;KG;MPSO;****;****;4
71;F000024;DESC PN F000024;06;BUY;KG;MPSO;****;****;4
71;F000025;DESC PN F000025;06;BUY;KG;****;****;****;3
71;F000027;DESC PN F000027;06;BUY;KG;MPSO;****;****;5
71;F000030;DESC PN F000030;06;BUY;KG;MPSO;****;****;5
71;F000033;DESC PN F000033;06;BUY;KG;MPSO;****;****;5
71;F000034;DESC PN F000034;06;BUY;KG;MPSO;****;****;4
71;F000035;DESC PN F000035;06;BUY;KG;MPSO;****;****;2
71;F000036;DESC PN F000036;06;BUY;KG;****;****;****;3
