PLANT;SELL_ORD;SELL_ORDER_TYPE
71;222.322;VM
71;222.597;VM
71;222.602;VM
71;230.705;VM
71;230.862;VD
71;230.938;VM
71;230.971;VM
71;230.983;VD
71;230.984;VD
71;231.090;VM
71;231.331;VD
71;231.401;VD
71;231.403;VM
71;231.434;VD
71;231.580;VM
71;231.588;VD
71;231.595;VM
71;231.622;VD
71;231.638;VD
71;231.639;VD
71;231.662;VD
71;231.717;VM
71;231.718;VM
71;231.719;VM
71;231.736;VD
71;231.786;VG
71;231.790;VD
71;231.794;VM
71;231.802;VD
71;231.806;VD
71;231.810;VM
71;231.898;VD
71;231.899;VD
71;231.900;VD
71;231.901;VD
71;231.905;VM
71;231.907;VM
71;231.908;VM
71;231.916;VD
71;231.936;VD
71;231.939;VD
71;231.943;VD
71;231.951;VD
71;231.952;VD
71;231.953;VD
71;231.955;VM
71;231.970;VM
71;231.978;VD
71;231.980;VD
71;231.981;VD
71;231.982;VD
71;231.984;VM
71;231.986;VM
71;232.004;LV
71;232.006;VM
71;232.012;VM
71;232.013;VD
71;232.019;VD
71;232.023;VD
71;232.029;VD
71;232.032;LP
71;232.039;VD
71;232.041;VD
71;232.046;VD
71;232.047;VM
71;232.060;VM
71;232.075;VD
71;232.076;VD
71;232.079;VD
71;232.081;VD
71;232.085;VM
71;232.088;VM
71;232.089;VM
71;232.097;VD
71;240.004;VD
71;240.009;VD
71;240.010;VD
71;240.011;VD
71;240.012;VD
71;240.013;VD
71;240.015;VD
71;240.020;LP
71;240.026;VM
71;240.030;VD
71;240.031;VD
71;240.034;VD
71;240.038;VD
71;240.039;VD
71;240.040;VD
71;240.043;VD
71;240.045;VD
71;240.046;VM
71;240.048;VD
71;240.049;VD
71;240.050;LP
71;240.051;VM
71;240.052;VM
71;240.057;VD
71;240.058;VD
71;240.059;VD
71;240.061;VD
71;240.063;VD
71;240.064;VD
71;240.069;VM
71;240.072;VD
71;240.073;VD
71;240.074;VD
71;240.075;VD
71;240.076;VD
71;240.079;VM
71;240.091;VM
71;240.092;VM
71;240.093;VM
71;240.101;VD
71;240.105;VD
71;240.108;VG
71;240.112;VD
71;240.115;VD
71;240.116;VD
71;240.117;VM
71;240.118;VM
71;240.119;VM
71;240.120;VM
71;240.124;VD
71;240.125;VD
71;240.131;VD
71;240.133;VD
71;240.134;VD
71;240.136;VM
71;240.137;VM
71;240.140;VM
71;240.141;VD
71;240.142;VD
71;240.143;VD
71;240.144;VD
71;240.145;VD
71;240.150;VD
71;240.151;VD
71;240.154;VD
71;240.155;VD
71;240.156;VM
71;240.158;VD
71;240.159;VM
71;240.160;VD
71;240.161;VD
71;240.162;VD
71;240.165;VD
71;240.169;VD
71;240.170;VM
71;240.173;VD
71;240.174;VM
71;240.175;VD
71;240.181;VD
71;240.182;VD
71;240.184;VD
71;240.185;VD
71;240.187;VD
71;240.188;VD
71;240.189;VM
71;240.190;VD
71;240.196;VD
71;240.197;VD
71;240.199;VD
71;240.200;VF
71;240.201;VD
71;240.202;VD
71;240.203;VD
71;240.208;VD
71;240.209;VD
71;240.210;VD
71;240.213;VM
71;240.214;VD
71;240.216;VD
71;240.218;VM
71;240.222;VM
71;240.229;LP
71;240.233;VM
71;240.234;VD
71;240.236;VF
71;240.237;VM
71;240.238;VD
71;240.239;VM
71;240.240;VD
71;240.241;VD
71;240.244;VM
71;240.246;VD
71;240.247;VD
71;240.248;VD
71;240.250;VD
71;240.252;VD
71;240.253;VD
71;240.254;VD
71;240.258;VF
71;240.260;VD
71;240.262;VM
71;240.265;VM
71;240.266;VM
71;240.268;VM
71;240.270;VD
71;240.275;VM
71;240.276;VD
71;240.277;VD
71;240.279;VD
71;240.280;VD
71;240.281;VD
71;240.282;VM
71;240.283;VM
71;240.284;VM
71;240.287;VD
71;240.289;VD
71;240.290;VD
71;240.296;VD
71;240.299;VD
71;240.301;VD
71;240.302;VD
71;240.303;VD
71;240.304;VD
71;240.305;VD
71;240.306;VD
71;240.307;VD
71;240.308;VD
71;240.309;VD
71;240.311;VD
71;240.312;VD
71;240.314;VD
71;240.315;VM
71;240.316;VD
71;240.317;VD
71;240.319;VD
71;240.322;VD
71;240.323;VD
71;240.324;VD
71;240.325;VD
71;240.326;VD
71;240.327;VD
71;240.328;VD
71;240.329;VD
71;240.330;VD
71;240.331;VD
71;240.332;VD
71;240.333;VD
71;240.339;VD
71;240.341;VM
71;240.342;VD
71;240.343;VD
71;240.344;VM
71;240.345;VD
71;240.346;VD
71;240.348;VD
