PLANT;SUPP_CODE;SUPP_NAME;COUNTRY
71;S1;Supplier name:S1;I
71;S2;Supplier name:S2;I
71;S3;Supplier name:S3;I
71;S4;Supplier name:S4;I
71;S5;Supplier name:S5;I
71;S6;Supplier name:S6;I
71;S7;Supplier name:S7;I
71;S8;Supplier name:S8;I
71;S9;Supplier name:S9;I
71;S10;Supplier name:S10;I
71;S11;Supplier name:S11;I
71;S12;Supplier name:S12;I
71;S13;Supplier name:S13;I
71;S14;Supplier name:S14;I
71;S15;Supplier name:S15;I
71;S16;Supplier name:S16;I
71;S17;Supplier name:S17;I
71;S18;Supplier name:S18;I
71;S19;Supplier name:S19;I
71;S20;Supplier name:S20;I
71;S21;Supplier name:S21;I
71;S22;Supplier name:S22;I
71;S23;Supplier name:S23;I
71;S24;Supplier name:S24;I
71;S25;Supplier name:S25;I
71;S26;Supplier name:S26;I
71;S27;Supplier name:S27;I
71;S28;Supplier name:S28;I
71;S29;Supplier name:S29;I
71;S30;Supplier name:S30;I
71;S31;Supplier name:S31;I
71;S32;Supplier name:S32;I
71;S33;Supplier name:S33;I
71;S34;Supplier name:S34;I
71;S35;Supplier name:S35;I
71;S36;Supplier name:S36;I
71;S37;Supplier name:S37;I
71;S38;Supplier name:S38;I
71;S39;Supplier name:S39;I
71;S40;Supplier name:S40;I
71;S41;Supplier name:S41;I
71;S42;Supplier name:S42;I
71;S43;Supplier name:S43;I
71;S44;Supplier name:S44;I
71;S45;Supplier name:S45;I
71;S46;Supplier name:S46;I
71;S47;Supplier name:S47;I
71;S48;Supplier name:S48;I
71;S49;Supplier name:S49;I
71;S50;Supplier name:S50;I
71;S51;Supplier name:S51;I
71;S52;Supplier name:S52;I
71;S53;Supplier name:S53;I
71;S54;Supplier name:S54;I
71;S55;Supplier name:S55;I
71;S56;Supplier name:S56;I
71;S57;Supplier name:S57;I
71;S58;Supplier name:S58;I
71;S59;Supplier name:S59;I
71;S60;Supplier name:S60;I
71;S61;Supplier name:S61;I
71;S62;Supplier name:S62;I
71;S63;Supplier name:S63;I
71;S64;Supplier name:S64;I
71;S65;Supplier name:S65;I
71;S66;Supplier name:S66;I
71;S67;Supplier name:S67;I
71;S68;Supplier name:S68;I
71;S69;Supplier name:S69;I
71;S70;Supplier name:S70;I
71;S71;Supplier name:S71;I
71;S72;Supplier name:S72;I
71;S73;Supplier name:S73;I
71;S74;Supplier name:S74;I
71;S75;Supplier name:S75;I
71;S76;Supplier name:S76;I
71;S77;Supplier name:S77;I
71;S78;Supplier name:S78;I
71;S79;Supplier name:S79;I
71;S80;Supplier name:S80;I
71;S81;Supplier name:S81;I
71;S82;Supplier name:S82;I
71;S83;Supplier name:S83;I
71;S84;Supplier name:S84;I
71;S85;Supplier name:S85;I
71;S86;Supplier name:S86;I
71;S87;Supplier name:S87;I
71;S88;Supplier name:S88;I
71;S89;Supplier name:S89;I
71;S90;Supplier name:S90;I
71;S91;Supplier name:S91;I
71;S92;Supplier name:S92;I
71;S93;Supplier name:S93;I
71;S94;Supplier name:S94;I
71;S95;Supplier name:S95;I
71;S96;Supplier name:S96;I
71;S97;Supplier name:S97;I
71;S98;Supplier name:S98;I
71;S99;Supplier name:S99;I
71;S100;Supplier name:S100;I
71;S101;Supplier name:S101;I
71;S102;Supplier name:S102;I
71;S103;Supplier name:S103;I
71;S104;Supplier name:S104;I
71;S105;Supplier name:S105;I
71;S106;Supplier name:S106;I
71;S107;Supplier name:S107;I
71;S108;Supplier name:S108;I
71;S109;Supplier name:S109;I
71;S110;Supplier name:S110;I
71;S111;Supplier name:S111;I
71;S112;Supplier name:S112;I
71;S113;Supplier name:S113;I
71;S114;Supplier name:S114;I
71;S115;Supplier name:S115;I
71;S116;Supplier name:S116;I
71;S117;Supplier name:S117;I
71;S118;Supplier name:S118;I
71;S119;Supplier name:S119;I
71;S120;Supplier name:S120;I
71;S121;Supplier name:S121;I
71;S122;Supplier name:S122;I
71;S123;Supplier name:S123;I
71;S124;Supplier name:S124;I
71;S125;Supplier name:S125;I
71;S126;Supplier name:S126;I
71;S127;Supplier name:S127;I
71;S128;Supplier name:S128;I
71;S129;Supplier name:S129;I
71;S130;Supplier name:S130;I
71;S131;Supplier name:S131;I
71;S132;Supplier name:S132;I
71;S133;Supplier name:S133;I
71;S134;Supplier name:S134;I
71;S135;Supplier name:S135;I
71;S136;Supplier name:S136;I
71;S137;Supplier name:S137;I
71;S139;Supplier name:S139;I
71;S140;Supplier name:S140;I
71;S141;Supplier name:S141;I
71;S142;Supplier name:S142;I
71;S143;Supplier name:S143;I
71;S144;Supplier name:S144;I
71;S145;Supplier name:S145;I
71;S146;Supplier name:S146;I
71;S147;Supplier name:S147;I
71;S148;Supplier name:S148;I
71;S149;Supplier name:S149;I
71;S150;Supplier name:S150;I
71;S151;Supplier name:S151;I
71;S152;Supplier name:S152;I
71;S153;Supplier name:S153;I
71;S154;Supplier name:S154;I
71;S155;Supplier name:S155;I
71;S156;Supplier name:S156;I
71;S157;Supplier name:S157;I
71;S158;Supplier name:S158;I
71;S159;Supplier name:S159;I
71;S160;Supplier name:S160;I
71;S161;Supplier name:S161;I
71;S162;Supplier name:S162;I
71;S163;Supplier name:S163;I
71;S164;Supplier name:S164;I
71;S165;Supplier name:S165;I
71;S166;Supplier name:S166;I
71;S167;Supplier name:S167;I
71;S168;Supplier name:S168;I
71;S169;Supplier name:S169;I
71;S170;Supplier name:S170;I
71;S171;Supplier name:S171;I
71;S172;Supplier name:S172;I
71;S173;Supplier name:S173;I
71;S174;Supplier name:S174;I
71;S175;Supplier name:S175;I
71;S176;Supplier name:S176;I
71;S177;Supplier name:S177;I
71;S178;Supplier name:S178;I
71;S179;Supplier name:S179;I
71;S180;Supplier name:S180;I
71;S181;Supplier name:S181;I
71;S182;Supplier name:S182;I
71;S183;Supplier name:S183;I
71;S184;Supplier name:S184;I
71;S185;Supplier name:S185;I
71;S186;Supplier name:S186;I
71;S187;Supplier name:S187;I
71;S188;Supplier name:S188;I
71;S189;Supplier name:S189;I
71;S190;Supplier name:S190;I
71;S191;Supplier name:S191;I
71;S192;Supplier name:S192;I
71;S193;Supplier name:S193;I
71;S194;Supplier name:S194;I
71;S195;Supplier name:S195;I
71;S196;Supplier name:S196;I
71;S197;Supplier name:S197;I
71;S198;Supplier name:S198;I
71;S199;Supplier name:S199;I
71;S200;Supplier name:S200;I
71;S201;Supplier name:S201;I
71;S202;Supplier name:S202;I
71;S203;Supplier name:S203;I
71;S204;Supplier name:S204;I
71;S205;Supplier name:S205;I
71;S206;Supplier name:S206;I
71;S207;Supplier name:S207;I
71;S208;Supplier name:S208;I
71;S209;Supplier name:S209;I
71;S210;Supplier name:S210;I
71;S211;Supplier name:S211;I
71;S212;Supplier name:S212;I
71;S213;Supplier name:S213;I
71;S214;Supplier name:S214;I
71;S215;Supplier name:S215;I
71;S216;Supplier name:S216;I
71;S217;Supplier name:S217;I
71;S218;Supplier name:S218;I
71;S219;Supplier name:S219;I
71;S220;Supplier name:S220;I
71;S221;Supplier name:S221;I
71;S222;Supplier name:S222;I
71;S223;Supplier name:S223;I
71;S224;Supplier name:S224;I
71;S225;Supplier name:S225;I
71;S226;Supplier name:S226;I
71;S227;Supplier name:S227;I
71;S228;Supplier name:S228;I
71;S229;Supplier name:S229;I
71;S230;Supplier name:S230;I
71;S231;Supplier name:S231;I
71;S232;Supplier name:S232;I
71;S233;Supplier name:S233;I
71;S234;Supplier name:S234;I
71;S235;Supplier name:S235;I
71;S236;Supplier name:S236;I
71;S237;Supplier name:S237;I
71;S238;Supplier name:S238;I
71;S239;Supplier name:S239;I
71;S240;Supplier name:S240;I
71;S241;Supplier name:S241;I
71;S242;Supplier name:S242;I
71;S243;Supplier name:S243;I
71;S244;Supplier name:S244;I
71;S245;Supplier name:S245;I
71;S246;Supplier name:S246;I
71;S247;Supplier name:S247;I
71;S248;Supplier name:S248;I
71;S249;Supplier name:S249;I
71;S250;Supplier name:S250;I
71;S251;Supplier name:S251;I
71;S252;Supplier name:S252;I
